{'frame_counter': 62, 'label': 'neutral', 'lma_features': [0.373375887859067, 0.22598407547631347, 0.21966723918853232, 0.32119679865460943, 0.45078825170348547, 0.4471206570156879, 0.32956598358003086, 0.3262270210822423, 0.2861509999972385, 0.27871851189897445, (0.01582548920886125, -0.13375006992939156, -0.03040238222632996, 0.9897399278872686), 0.09583382843078675, 0.1269084584517863, 0.047603404061793184, 0.959626802676641, 0.880285936109389, 0.6812960589489686, 0.6872181842435833, 1.244843356345021, 1.919253605353282, 1.760571872218778, 1.3625921178979372, 1.3744363684871665, 2.489686712690042, 0.029796404517438726, 0.025439132415926307]}
{'frame_counter': 124, 'label': 'neutral', 'lma_features': [0.36989632835689323, 0.22243077244439016, 0.21953619388468862, 0.13130775184522198, 0.4493657873492122, 0.44765022840192586, 0.3281843646580582, 0.3271018583839797, 0.2861509999759029, 0.2786602193386501, (0.01808423150572122, -0.13872958936099627, -0.03820211509909692, 0.9893829465043641), 0.09266787494594, 0.12615686877671145, 0.05501612789211967, 0.07211556413562654, 0.09387277225617154, 0.07849736337756204, 0.03301906583333293, 0.06630903305010444, 1.8446580459101436, 1.683445525957632, 1.2765539346372272, 1.3786561265301975, 2.433819427553542, 0.02887445614889263, 0.024317739234274455]}
{'frame_counter': 186, 'label': 'neutral', 'lma_features': [0.394532107560698, 0.22034400149985903, 0.2216416586872531, 0.22489229016719237, 0.44754309573417844, 0.44710049213519315, 0.3279105023826739, 0.32975686480983535, 0.28615099999222143, 0.2773859756654429, (0.034277484902915496, -0.15566096249433262, -0.11222869956258874, 0.9795692298525841), 0.10538075147315841, 0.1257793285460941, 0.0717093998204077, 0.09742887063728196, 0.1452559640155847, 0.17646541002627986, 0.21801720905458408, 0.04649683225381488, 0.07679315733782428, 0.22741429213878092, 0.24538079028218493, 0.437969278591337, 0.1520279185566296, 0.033503970188814305, 0.02680209072714815]}
{'frame_counter': 248, 'label': 'neutral', 'lma_features': [0.5027018692443499, 0.21927358483619283, 0.326492581797713, 0.4158998368263184, 0.4342320885611257, 0.4882955368317774, 0.3197307925799714, 0.3725047833249963, 0.2861509999193087, 0.27601752736363827, (0.10161217991742637, -0.19283552257639935, -0.25520572337033215, 0.9411466444053916), 0.23735886858188063, 0.1535604016669627, 0.15467817766988448, 0.49931294116873504, 0.5270181213100534, 0.25755056119765013, 0.5039003543795394, 0.6512781378471839, 1.1138964619057554, 1.1706383677948533, 0.3379852976602926, 1.3610453278795789, 1.2264978387020402, 0.0758626394906054, 0.07061151968061026]}
{'frame_counter': 310, 'label': 'neutral', 'lma_features': [0.4471722608166775, 0.12223969938052578, 0.2948504182686581, 0.41361591744066145, 0.377025570305612, 0.4610793110438268, 0.2602595514568051, 0.3423293787157838, 0.28615099996365306, 0.27600484792313423, (0.16070009289866166, -0.1858244422348619, -0.3837741023692839, 0.8895874774610506), 0.33771876874815193, 0.08963211530952735, 0.16414148230693523, 0.30798106669410524, 0.39013643451505103, 0.1449418144134853, 0.13360717981013223, 0.5237669598257809, 0.6233790242211431, 1.0168011962691506, 0.6848807502297721, 0.8522947308325466, 0.5869020523103419, 0.0673266562720366, 0.09510157959795495]}
{'frame_counter': 372, 'label': 'neutral', 'lma_features': [0.2700169696462469, 0.11316434820072753, 0.2595901016091578, 0.4133809392057868, 0.36244397472974305, 0.42752080452502866, 0.2523035622958366, 0.31897542450870403, 0.28615099999497473, 0.2759692778486037, (0.16482285333952224, -0.19388729501901056, -0.4284814293545184, 0.8669499016029604), 0.353562452092887, 0.06399861417651322, 0.16263849643767417, 0.13819543925134356, 0.13963433604441253, 0.1046804281209279, 0.10919957384210759, 0.15260725942122397, 0.46091311020016207, 0.6103896173608466, 0.1516315496728734, 0.10075423631854226, 0.7694836193597542, 0.059909414670333797, 0.09852244706403565]}
{'frame_counter': 434, 'label': 'neutral', 'lma_features': [0.2704379066319967, 0.12028682926272749, 0.2660184827616264, 0.4199855707073459, 0.3602619280634415, 0.42989303607728985, 0.2552068528087502, 0.32222758736946866, 0.2861509999903143, 0.27598150833009627, (0.15160508637648648, -0.19397938828776556, -0.43609655091551075, 0.8655274221840804), 0.355963674736579, 0.06924099643033017, 0.163855516028735, 0.15283989734432304, 0.07069410392105428, 0.08778498909347832, 0.0712507895505484, 0.1829864700222868, 0.5459764903845057, 0.4080460524688216, 0.38234486294325765, 0.3583779856384672, 0.6421581234905315, 0.06304564325662414, 0.09989876490761702]}
{'frame_counter': 496, 'label': 'neutral', 'lma_features': [0.4151247604065029, 0.1581063341839484, 0.26013550171321714, 0.43948118784744455, 0.3756327059238222, 0.43371236859050527, 0.26880849147116753, 0.3268532141953105, 0.28615100026619417, 0.2758813569514972, (0.11599796233977464, -0.21008449764854228, -0.4131526119477385, 0.8782804004912431), 0.2960208717435852, 0.07530181324914967, 0.13408912058778136, 0.3333755873245865, 0.4365435160891999, 0.1769728135126004, 0.8166050175395494, 0.49692915742919813, 0.6166999154625104, 0.8088116075671911, 0.3370649254741821, 1.5483665411438565, 0.8755175891838735, 0.06361782960755206, 0.07962127578101691]}
{'frame_counter': 558, 'label': 'neutral', 'lma_features': [0.47643530997006805, 0.2987706887181516, 0.28346220254979226, 0.3290272710810832, 0.45964247167798294, 0.4338169939906262, 0.3439072885400686, 0.31800215866843573, 0.2861510000277698, 0.2766237884288634, (0.09146681574147608, -0.16519942316451477, -0.38512161120993915, 0.9028662692054048), 0.3015080833680068, 0.1304715464395819, 0.09938874400121053, 0.4148031257617626, 0.3637357281258908, 0.7353923830828165, 0.32095883412245624, 0.3853049587007111, 1.4277851408545232, 1.5995416037679968, 1.773430887802135, 2.0098118825840094, 1.5836892280952306, 0.0795599614976959, 0.07235595885359238]}
{'frame_counter': 620, 'label': 'neutral', 'lma_features': [0.28739469396834344, 0.24959327628950084, 0.16690092914796725, 0.3288897702545286, 0.43566783399740205, 0.36299500766961074, 0.3223530363317946, 0.25039093455479333, 0.28615099990988463, 0.27631942083308697, (0.05213336819230845, -0.11858652555337879, -0.39163324154961177, 0.9108806649366098), 0.26494749816874646, 0.05707803245374673, 0.12400069571100297, 0.27974144236098575, 0.2211904813210722, 0.17732890023514708, 0.16363112795675847, 0.22624977377818492, 0.7907919085141365, 0.31194856305646324, 1.1441723361516674, 0.4548646116502226, 0.6548703912755248, 0.0659106412679491, 0.08280181507016841]}
